Account,Delivery Location,Shop Location,Order Category,Item Ordered,Shop Name,Unit Price,Quantity,Distance (km),Sub Total,Delivery Fee,Service Fee,Total,Payment Method,Rating,Order Received,Preparing Order,Rider Accepted,Order Ready,Rider At Vendor,Rider Picked Up,Expected Delivery Time,Order Arrived,Order Delivered,time_sequence_valid,prep_time_min,delivery_time_min,delay_min,order_hour,order_dayofweek,order_month,order_year,revenue
AB001,Ojota,Adeniran Ogunsanya,Drinks & Beverages,Yoghurt drink,Smoothie Express,4500,2,11.6,9000,980,101,10081,Bank Transfer,4.0,2023-01-01 07:42:00,2023-01-01 07:47:00,2023-01-01 07:50:00,2023-01-01 07:53:00,2023-01-01 07:55:00,2023-01-01 08:00:00,2023-01-01 08:51:00,2023-01-01 09:02:00,2023-01-01 09:06:00,True,6.0,84.0,15.0,7,Sunday,2023-01,2023,9000
AB001,Anthony,Oshodi,Pastries,Chocolate croissant,Sweet Bites Bakery,5000,1,11.4,5000,970,409,6379,Wallet,4.0,2023-01-01 13:59:00,2023-01-01 14:02:00,2023-01-01 14:06:00,2023-01-01 14:11:00,2023-01-01 14:16:00,2023-01-01 14:17:00,2023-01-01 15:02:00,2023-01-01 14:56:00,2023-01-01 15:00:00,True,9.0,61.0,-2.0,13,Sunday,2023-01,2023,5000
AB001,Adeniran Ogunsanya,Anthony,Food,Efo riro & pounded yam,Mama Cass Kitchen,10500,2,14.7,21000,1135,731,22866,USSD,4.0,2023-01-04 13:22:00,2023-01-04 13:27:00,2023-01-04 13:35:00,2023-01-04 13:40:00,2023-01-04 13:46:00,2023-01-04 13:51:00,2023-01-04 14:53:00,2023-01-04 15:59:00,2023-01-04 16:02:00,True,13.0,160.0,69.0,13,Wednesday,2023-01,2023,21000
AB001,Adeniran Ogunsanya,Surulere,Pastries,Doughnut pack,Sweet Bites Bakery,20000,1,12.6,20000,1030,394,21424,QR Code,4.0,2023-01-05 00:29:00,2023-01-05 00:35:00,2023-01-05 00:40:00,2023-01-05 00:42:00,2023-01-05 00:43:00,2023-01-05 00:48:00,2023-01-05 01:43:00,2023-01-05 01:39:00,2023-01-05 01:41:00,True,7.0,72.0,-2.0,0,Thursday,2023-01,2023,20000
AB001,Ojota,Yaba,Food,Efo riro & pounded yam,Naija Kitchen,10500,1,14.5,10500,1125,586,12211,QR Code,4.0,2023-01-05 00:29:00,2023-01-05 00:35:00,2023-01-05 00:42:00,2023-01-05 00:46:00,2023-01-05 00:51:00,2023-01-05 00:53:00,2023-01-05 01:51:00,2023-01-05 01:54:00,2023-01-05 02:00:00,True,11.0,91.0,9.0,0,Thursday,2023-01,2023,10500
AB009,Ikeja,Mushin,Food,Efo riro & pounded yam,Tasty Bites,10500,1,7.8,10500,790,866,12156,QR Code,4.0,2023-01-07 09:03:00,2023-01-07 09:05:00,2023-01-07 09:13:00,2023-01-07 09:20:00,2023-01-07 09:26:00,2023-01-07 09:29:00,2023-01-07 10:02:00,2023-01-07 10:08:00,2023-01-07 10:10:00,True,15.0,67.0,8.0,9,Saturday,2023-01,2023,10500
AB009,Maryland,Maryland,Food,Efo riro & pounded yam,Mama Cass Kitchen,10500,1,2.5,10500,525,209,11234,Wallet,4.0,2023-01-09 08:37:00,2023-01-09 08:44:00,2023-01-09 08:45:00,2023-01-09 08:47:00,2023-01-09 08:49:00,2023-01-09 08:53:00,2023-01-09 09:01:00,2023-01-09 09:02:00,2023-01-09 09:01:00,False,3.0,24.0,0.0,8,Monday,2023-01,2023,10500
AB009,Ogba,Maryland,Food,Spaghetti stir fry & turkey,Lekki Eats,12000,1,4.0,12000,600,305,12905,Wallet,4.0,2023-01-10 14:54:00,2023-01-10 14:56:00,2023-01-10 14:59:00,2023-01-10 15:02:00,2023-01-10 15:06:00,2023-01-10 15:10:00,2023-01-10 15:29:00,2023-01-10 15:24:00,2023-01-10 15:29:00,True,6.0,35.0,0.0,14,Tuesday,2023-01,2023,12000
AB009,Ogba,Ikeja,Food,Spaghetti stir fry & turkey,Mama Cass Kitchen,12000,3,3.4,36000,570,350,36920,Wallet,4.0,2023-01-10 20:31:00,2023-01-10 20:38:00,2023-01-10 20:43:00,2023-01-10 20:52:00,2023-01-10 20:54:00,2023-01-10 20:56:00,2023-01-10 21:09:00,2023-01-10 21:07:00,2023-01-10 21:09:00,True,14.0,38.0,0.0,20,Tuesday,2023-01,2023,36000
AB009,Ojota,Adeniran Ogunsanya,Food,Spaghetti stir fry & turkey,Naija Kitchen,12000,2,14.0,24000,1100,183,25283,Wallet,4.0,2023-01-13 00:43:00,2023-01-13 00:49:00,2023-01-13 00:50:00,2023-01-13 00:52:00,2023-01-13 00:54:00,2023-01-13 00:57:00,2023-01-13 01:57:00,2023-01-13 02:09:00,2023-01-13 01:57:00,False,3.0,74.0,0.0,0,Friday,2023-01,2023,24000
